step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
314,825,1024,0.8057,23.617,42.342,0,0.000,0
315,826,1024,0.8066,23.454,42.637,0,0.000,0
316,827,1024,0.8076,24.122,41.456,0,0.000,0
317,828,1024,0.8086,22.983,43.510,0,0.000,0
318,829,1024,0.8096,23.844,41.939,0,0.000,0
319,830,1024,0.8105,23.510,42.535,0,0.000,0
320,831,1024,0.8115,23.173,43.154,0,0.000,0
321,832,1024,0.8125,24.602,40.647,0,0.000,0
322,833,1024,0.8135,23.135,43.225,0,0.000,0
323,834,1024,0.8145,23.834,41.957,0,0.000,0
324,835,1024,0.8154,23.363,42.803,0,0.000,0
325,836,1024,0.8164,23.629,42.321,0,0.000,0
326,837,1024,0.8174,23.889,41.860,0,0.000,0
327,838,1024,0.8184,23.016,43.448,0,0.000,0
328,839,1024,0.8193,23.889,41.860,0,0.000,0
329,840,1024,0.8203,23.601,42.371,0,0.000,0
330,841,1024,0.8213,23.594,42.384,0,0.000,0
331,842,1024,0.8223,23.545,42.472,0,0.000,0
332,843,1024,0.8232,23.378,42.775,0,0.000,0
333,844,1024,0.8242,23.754,42.098,0,0.000,0
334,845,1024,0.8252,23.880,41.876,0,0.000,0
335,846,1024,0.8262,23.605,42.364,0,0.000,0
336,847,1024,0.8271,23.975,41.710,0,0.000,0
337,848,1024,0.8281,23.739,42.125,0,0.000,0
338,849,1024,0.8291,23.688,42.215,0,0.000,0
339,850,1024,0.8301,24.106,41.483,0,0.000,0
340,851,1024,0.8311,23.507,42.541,0,0.000,0
341,852,1024,0.8320,23.980,41.701,0,0.000,0
342,853,1024,0.8330,23.949,41.755,0,0.000,0
343,854,1024,0.8340,23.565,42.436,0,0.000,0
344,855,1024,0.8350,23.757,42.093,0,0.000,0
345,856,1024,0.8359,23.118,43.256,0,0.000,0
346,857,1024,0.8369,24.111,41.475,0,0.000,0
347,858,1024,0.8379,23.838,41.950,0,0.000,0
348,859,1024,0.8389,23.012,43.456,0,0.000,0
349,860,1024,0.8398,24.097,41.499,0,0.000,0
350,861,1024,0.8408,23.290,42.937,0,0.000,0
351,862,1024,0.8418,23.774,42.063,0,0.000,0
352,863,1024,0.8428,24.057,41.568,0,0.000,0
353,864,1024,0.8438,24.213,41.300,0,0.000,0
354,865,1024,0.8447,23.839,41.948,0,0.000,0
355,866,1024,0.8457,23.112,43.268,0,0.000,0
356,867,1024,0.8467,24.096,41.501,0,0.000,0
357,868,1024,0.8477,23.432,42.677,0,0.000,0
358,869,1024,0.8486,23.640,42.301,0,0.000,0
359,870,1024,0.8496,23.473,42.602,0,0.000,0
360,871,1024,0.8506,23.989,41.686,0,0.000,0
361,872,1024,0.8516,23.983,41.696,0,0.000,0
362,873,1024,0.8525,23.247,43.016,0,0.000,0
363,874,1024,0.8535,23.641,42.299,0,0.000,0
364,875,1024,0.8545,23.843,41.941,0,0.000,0
365,876,1024,0.8555,23.335,42.854,0,0.000,0
366,877,1024,0.8564,23.687,42.217,0,0.000,0
367,878,1024,0.8574,23.500,42.553,0,0.000,0
368,879,1024,0.8584,23.820,41.982,0,0.000,0
369,880,1024,0.8594,23.412,42.713,0,0.000,0
370,881,1024,0.8604,23.372,42.786,0,0.000,0
371,882,1024,0.8613,24.094,41.504,0,0.000,0
372,883,1024,0.8623,23.347,42.832,0,0.000,0
373,884,1024,0.8633,23.719,42.160,0,0.000,0
374,885,1024,0.8643,23.844,41.939,0,0.000,0
375,886,1024,0.8652,23.284,42.948,0,0.000,0
376,887,1024,0.8662,23.766,42.077,0,0.000,0
377,888,1024,0.8672,23.436,42.669,0,0.000,0
378,889,1024,0.8682,23.835,41.955,0,0.000,0
379,890,1024,0.8691,23.614,42.348,0,0.000,0
380,891,1024,0.8701,23.175,43.150,0,0.000,0
381,892,1024,0.8711,23.882,41.873,0,0.000,0
382,893,1024,0.8721,23.369,42.792,0,0.000,0
383,894,1024,0.8730,23.639,42.303,0,0.000,0
384,895,1024,0.8740,23.632,42.316,0,0.000,0
385,896,1024,0.8750,23.813,41.994,0,0.000,0
386,897,1024,0.8760,24.500,40.816,0,0.000,0
387,898,1024,0.8770,23.052,43.380,0,0.000,0
388,899,1024,0.8779,23.960,41.736,0,0.000,0
389,900,1024,0.8789,23.443,42.657,0,0.000,0
390,901,1024,0.8799,23.339,42.847,0,0.000,0
391,902,1024,0.8809,23.971,41.717,0,0.000,0
392,903,1024,0.8818,23.286,42.944,0,0.000,0
393,904,1024,0.8828,24.027,41.620,0,0.000,0
394,905,1024,0.8838,23.063,43.359,0,0.000,0
395,906,1024,0.8848,23.943,41.766,0,0.000,0
396,907,1024,0.8857,23.794,42.027,0,0.000,0
397,908,1024,0.8867,23.095,43.299,0,0.000,0
398,909,1024,0.8877,23.784,42.045,0,0.000,0
399,910,1024,0.8887,23.807,42.004,0,0.000,0
400,911,1024,0.8896,23.849,41.930,0,0.000,0
401,912,1024,0.8906,23.617,42.342,0,0.000,0
402,913,1024,0.8916,23.498,42.557,0,0.000,0
403,914,1024,0.8926,23.656,42.273,0,0.000,0
404,915,1024,0.8936,23.454,42.637,0,0.000,0
405,916,1024,0.8945,23.388,42.757,0,0.000,0
406,917,1024,0.8955,24.260,41.220,0,0.000,0
407,918,1024,0.8965,23.341,42.843,0,0.000,0
408,919,1024,0.8975,23.382,42.768,0,0.000,0
409,920,1024,0.8984,23.902,41.838,0,0.000,0
410,921,1024,0.8994,23.325,42.872,0,0.000,0
411,922,1024,0.9004,23.746,42.112,0,0.000,0
412,923,1024,0.9014,24.058,41.566,0,0.000,0
413,924,1024,0.9023,23.800,42.017,0,0.000,0
414,925,1024,0.9033,23.539,42.483,0,0.000,0
415,926,1024,0.9043,23.402,42.731,0,0.000,0
416,927,1024,0.9053,23.901,41.839,0,0.000,0
417,928,1024,0.9062,23.228,43.051,0,0.000,0
418,929,1024,0.9072,23.620,42.337,0,0.000,0
419,930,1024,0.9082,23.582,42.405,0,0.000,0
420,931,1024,0.9092,23.457,42.631,0,0.000,0
421,932,1024,0.9102,23.683,42.224,0,0.000,0
422,933,1024,0.9111,23.370,42.790,0,0.000,0
423,934,1024,0.9121,23.903,41.836,0,0.000,0
424,935,1024,0.9131,23.533,42.494,0,0.000,0
425,936,1024,0.9141,23.880,41.876,0,0.000,0
426,937,1024,0.9150,23.941,41.769,0,0.000,0
427,938,1024,0.9160,23.320,42.882,0,0.000,0
428,939,1024,0.9170,23.466,42.615,0,0.000,0
429,940,1024,0.9180,23.610,42.355,0,0.000,0
430,941,1024,0.9189,23.391,42.751,0,0.000,0
431,942,1024,0.9199,24.111,41.475,0,0.000,0
432,943,1024,0.9209,23.050,43.384,0,0.000,0
433,944,1024,0.9219,23.641,42.299,0,0.000,0
434,945,1024,0.9229,23.720,42.159,0,0.000,0
435,946,1024,0.9238,23.203,43.098,0,0.000,0
436,947,1024,0.9248,23.952,41.750,0,0.000,0
437,948,1024,0.9258,23.211,43.083,0,0.000,0
438,949,1024,0.9268,24.289,41.171,0,0.000,0
439,950,1024,0.9277,24.056,41.570,0,0.000,0
440,951,1024,0.9287,24.377,41.022,0,0.000,0
441,952,1024,0.9297,23.698,42.198,0,0.000,0
442,953,1024,0.9307,23.546,42.470,0,0.000,0
443,954,1024,0.9316,23.695,42.203,0,0.000,0
444,955,1024,0.9326,23.579,42.411,0,0.000,0
445,956,1024,0.9336,24.027,41.620,0,0.000,0
446,957,1024,0.9346,23.127,43.240,0,0.000,0
447,958,1024,0.9355,23.894,41.852,0,0.000,0
448,959,1024,0.9365,23.666,42.255,0,0.000,0
449,960,1024,0.9375,23.152,43.193,0,0.000,0
450,961,1024,0.9385,24.224,41.281,0,0.000,0
451,962,1024,0.9395,23.603,42.367,0,0.000,0
452,963,1024,0.9404,24.181,41.355,0,0.000,0
453,964,1024,0.9414,23.340,42.845,0,0.000,0
454,965,1024,0.9424,23.621,42.335,0,0.000,0
455,966,1024,0.9434,23.885,41.867,0,0.000,0
456,967,1024,0.9443,23.084,43.320,0,0.000,0
457,968,1024,0.9453,24.040,41.597,0,0.000,0
458,969,1024,0.9463,23.514,42.528,0,0.000,0
459,970,1024,0.9473,23.615,42.346,0,0.000,0
460,971,1024,0.9482,23.617,42.342,0,0.000,0
461,972,1024,0.9492,23.387,42.759,0,0.000,0
462,973,1024,0.9502,23.985,41.693,0,0.000,0
463,974,1024,0.9512,23.125,43.243,0,0.000,0
464,975,1024,0.9521,24.280,41.186,0,0.000,0
465,976,1024,0.9531,23.835,41.955,0,0.000,0
466,977,1024,0.9541,23.350,42.827,0,0.000,0
467,978,1024,0.9551,23.585,42.400,0,0.000,0
468,979,1024,0.9561,23.702,42.191,0,0.000,0
469,980,1024,0.9570,23.506,42.542,0,0.000,0
470,981,1024,0.9580,23.834,41.957,0,0.000,0
471,982,1024,0.9590,23.399,42.737,0,0.000,0
472,983,1024,0.9600,23.948,41.757,0,0.000,0
473,984,1024,0.9609,23.659,42.267,0,0.000,0
474,985,1024,0.9619,23.255,43.002,0,0.000,0
475,986,1024,0.9629,23.868,41.897,0,0.000,0
476,987,1024,0.9639,23.305,42.909,0,0.000,0
477,988,1024,0.9648,23.759,42.089,0,0.000,0
478,989,1024,0.9658,24.252,41.234,0,0.000,0
479,990,1024,0.9668,23.552,42.459,0,0.000,0
480,991,1024,0.9678,23.952,41.750,0,0.000,0
481,992,1024,0.9688,23.090,43.309,0,0.000,0
482,993,1024,0.9697,24.224,41.281,0,0.000,0
483,994,1024,0.9707,23.703,42.189,0,0.000,0
484,995,1024,0.9717,23.240,43.029,0,0.000,0
485,996,1024,0.9727,24.050,41.580,0,0.000,0
486,997,1024,0.9736,23.365,42.799,0,0.000,0
487,998,1024,0.9746,23.986,41.691,0,0.000,0
488,999,1024,0.9756,23.263,42.987,0,0.000,0
489,1000,1024,0.9766,23.566,42.434,0,0.000,0
490,1001,1024,0.9775,24.021,41.630,0,0.000,0
491,1002,1024,0.9785,23.743,42.118,0,0.000,0
492,1003,1024,0.9795,23.930,41.789,0,0.000,0
