step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
310,821,1024,0.8018,24.381,41.016,0,0.000,0,1024
311,822,1024,0.8027,24.569,40.702,0,0.000,0,1024
312,823,1024,0.8037,24.697,40.491,0,0.000,0,1024
313,824,1024,0.8047,25.196,39.689,0,0.000,0,1024
314,825,1024,0.8057,24.360,41.051,0,0.000,0,1024
315,826,1024,0.8066,24.712,40.466,0,0.000,0,1024
316,827,1024,0.8076,24.664,40.545,0,0.000,0,1024
317,828,1024,0.8086,24.544,40.743,0,0.000,0,1024
318,829,1024,0.8096,24.348,41.071,0,0.000,0,1024
319,830,1024,0.8105,24.692,40.499,0,0.000,0,1024
320,831,1024,0.8115,24.537,40.755,0,0.000,0,1024
321,832,1024,0.8125,24.443,40.912,0,0.000,0,1024
322,833,1024,0.8135,24.212,41.302,0,0.000,0,1024
323,834,1024,0.8145,24.564,40.710,0,0.000,0,1024
324,835,1024,0.8154,24.487,40.838,0,0.000,0,1024
325,836,1024,0.8164,24.575,40.692,0,0.000,0,1024
326,837,1024,0.8174,24.662,40.548,0,0.000,0,1024
327,838,1024,0.8184,24.762,40.384,0,0.000,0,1024
328,839,1024,0.8193,24.502,40.813,0,0.000,0,1024
329,840,1024,0.8203,24.867,40.214,0,0.000,0,1024
330,841,1024,0.8213,24.236,41.261,0,0.000,0,1024
331,842,1024,0.8223,24.531,40.765,0,0.000,0,1024
332,843,1024,0.8232,24.532,40.763,0,0.000,0,1024
333,844,1024,0.8242,24.683,40.514,0,0.000,0,1024
334,845,1024,0.8252,24.078,41.532,0,0.000,0,1024
335,846,1024,0.8262,24.437,40.922,0,0.000,0,1024
336,847,1024,0.8271,24.546,40.740,0,0.000,0,1024
337,848,1024,0.8281,24.240,41.254,0,0.000,0,1024
338,849,1024,0.8291,24.944,40.090,0,0.000,0,1024
339,850,1024,0.8301,25.106,39.831,0,0.000,0,1024
340,851,1024,0.8311,28.008,35.704,0,0.000,0,1024
341,852,1024,0.8320,24.603,40.645,0,0.000,0,1024
342,853,1024,0.8330,24.196,41.329,0,0.000,0,1024
343,854,1024,0.8340,24.535,40.758,0,0.000,0,1024
344,855,1024,0.8350,24.531,40.765,0,0.000,0,1024
345,856,1024,0.8359,24.203,41.317,0,0.000,0,1024
346,857,1024,0.8369,24.512,40.796,0,0.000,0,1024
347,858,1024,0.8379,24.565,40.708,0,0.000,0,1024
348,859,1024,0.8389,24.616,40.624,0,0.000,0,1024
349,860,1024,0.8398,24.191,41.338,0,0.000,0,1024
350,861,1024,0.8408,25.121,39.807,0,0.000,0,1024
351,862,1024,0.8418,24.600,40.650,0,0.000,0,1024
352,863,1024,0.8428,24.615,40.626,0,0.000,0,1024
353,864,1024,0.8438,24.290,41.169,0,0.000,0,1024
354,865,1024,0.8447,24.622,40.614,0,0.000,0,1024
355,866,1024,0.8457,24.693,40.497,0,0.000,0,1024
356,867,1024,0.8467,24.607,40.639,0,0.000,0,1024
357,868,1024,0.8477,24.292,41.166,0,0.000,0,1024
358,869,1024,0.8486,24.605,40.642,0,0.000,0,1024
359,870,1024,0.8496,24.145,41.416,0,0.000,0,1024
360,871,1024,0.8506,24.228,41.275,0,0.000,0,1024
361,872,1024,0.8516,23.986,41.691,0,0.000,0,1024
362,873,1024,0.8525,24.177,41.362,0,0.000,0,1024
363,874,1024,0.8535,24.616,40.624,0,0.000,0,1024
364,875,1024,0.8545,24.261,41.218,0,0.000,0,1024
365,876,1024,0.8555,25.343,39.459,0,0.000,0,1024
366,877,1024,0.8564,24.142,41.422,0,0.000,0,1024
367,878,1024,0.8574,24.460,40.883,0,0.000,0,1024
368,879,1024,0.8584,24.086,41.518,0,0.000,0,1024
369,880,1024,0.8594,24.533,40.761,0,0.000,0,1024
370,881,1024,0.8604,24.465,40.875,0,0.000,0,1024
371,882,1024,0.8613,25.250,39.604,0,0.000,0,1024
372,883,1024,0.8623,25.032,39.949,0,0.000,0,1024
373,884,1024,0.8633,24.877,40.198,0,0.000,0,1024
374,885,1024,0.8643,24.927,40.117,0,0.000,0,1024
375,886,1024,0.8652,24.686,40.509,0,0.000,0,1024
376,887,1024,0.8662,24.879,40.195,0,0.000,0,1024
377,888,1024,0.8672,24.868,40.212,0,0.000,0,1024
378,889,1024,0.8682,24.772,40.368,0,0.000,0,1024
379,890,1024,0.8691,24.850,40.241,0,0.000,0,1024
380,891,1024,0.8701,24.530,40.766,0,0.000,0,1024
381,892,1024,0.8711,24.877,40.198,0,0.000,0,1024
382,893,1024,0.8721,24.700,40.486,0,0.000,0,1024
383,894,1024,0.8730,24.733,40.432,0,0.000,0,1024
384,895,1024,0.8740,24.416,40.957,0,0.000,0,1024
385,896,1024,0.8750,24.769,40.373,0,0.000,0,1024
386,897,1024,0.8760,24.772,40.368,0,0.000,0,1024
387,898,1024,0.8770,24.839,40.259,0,0.000,0,1024
388,899,1024,0.8779,25.011,39.982,0,0.000,0,1024
389,900,1024,0.8789,24.768,40.375,0,0.000,0,1024
390,901,1024,0.8799,24.869,40.211,0,0.000,0,1024
391,902,1024,0.8809,24.620,40.617,0,0.000,0,1024
392,903,1024,0.8818,24.131,41.440,0,0.000,0,1024
393,904,1024,0.8828,24.991,40.014,0,0.000,0,1024
394,905,1024,0.8838,24.879,40.195,0,0.000,0,1024
395,906,1024,0.8848,24.951,40.079,0,0.000,0,1024
396,907,1024,0.8857,24.615,40.626,0,0.000,0,1024
397,908,1024,0.8867,24.918,40.132,0,0.000,0,1024
398,909,1024,0.8877,25.035,39.944,0,0.000,0,1024
399,910,1024,0.8887,24.993,40.011,0,0.000,0,1024
400,911,1024,0.8896,24.583,40.679,0,0.000,0,1024
401,912,1024,0.8906,25.098,39.844,0,0.000,0,1024
402,913,1024,0.8916,24.726,40.443,0,0.000,0,1024
403,914,1024,0.8926,24.942,40.093,0,0.000,0,1024
404,915,1024,0.8936,24.453,40.895,0,0.000,0,1024
405,916,1024,0.8945,24.792,40.336,0,0.000,0,1024
406,917,1024,0.8955,24.847,40.246,0,0.000,0,1024
407,918,1024,0.8965,24.760,40.388,0,0.000,0,1024
408,919,1024,0.8975,24.504,40.810,0,0.000,0,1024
409,920,1024,0.8984,24.845,40.250,0,0.000,0,1024
410,921,1024,0.8994,24.838,40.261,0,0.000,0,1024
411,922,1024,0.9004,24.875,40.201,0,0.000,0,1024
412,923,1024,0.9014,24.968,40.051,0,0.000,0,1024
413,924,1024,0.9023,25.077,39.877,0,0.000,0,1024
414,925,1024,0.9033,25.186,39.705,0,0.000,0,1024
415,926,1024,0.9043,24.924,40.122,0,0.000,0,1024
416,927,1024,0.9053,24.638,40.588,0,0.000,0,1024
