step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
316,827,1024,0.8076,28.117,35.566,0,0.000,0,1024
317,828,1024,0.8086,28.758,34.773,0,0.000,0,1024
318,829,1024,0.8096,28.514,35.070,0,0.000,0,1024
319,830,1024,0.8105,28.997,34.486,0,0.000,0,1024
320,831,1024,0.8115,28.918,34.581,0,0.000,0,1024
321,832,1024,0.8125,28.579,34.991,0,0.000,0,1024
322,833,1024,0.8135,28.529,35.052,0,0.000,0,1024
323,834,1024,0.8145,28.224,35.431,0,0.000,0,1024
324,835,1024,0.8154,29.187,34.262,0,0.000,0,1024
325,836,1024,0.8164,28.534,35.046,0,0.000,0,1024
326,837,1024,0.8174,28.597,34.969,0,0.000,0,1024
327,838,1024,0.8184,28.419,35.188,0,0.000,0,1024
328,839,1024,0.8193,28.454,35.144,0,0.000,0,1024
329,840,1024,0.8203,36.864,27.127,0,0.000,0,1024
330,841,1024,0.8213,31.866,31.381,0,0.000,0,1024
331,842,1024,0.8223,29.168,34.284,0,0.000,0,1024
332,843,1024,0.8232,32.927,30.370,0,0.000,0,1024
333,844,1024,0.8242,28.582,34.987,0,0.000,0,1024
334,845,1024,0.8252,30.234,33.075,0,0.000,0,1024
335,846,1024,0.8262,28.488,35.102,0,0.000,0,1024
336,847,1024,0.8271,28.776,34.751,0,0.000,0,1024
337,848,1024,0.8281,28.754,34.778,0,0.000,0,1024
338,849,1024,0.8291,29.225,34.217,0,0.000,0,1024
339,850,1024,0.8301,28.470,35.125,0,0.000,0,1024
340,851,1024,0.8311,29.195,34.252,0,0.000,0,1024
341,852,1024,0.8320,29.285,34.147,0,0.000,0,1024
342,853,1024,0.8330,28.256,35.391,0,0.000,0,1024
343,854,1024,0.8340,28.677,34.871,0,0.000,0,1024
344,855,1024,0.8350,28.629,34.930,0,0.000,0,1024
345,856,1024,0.8359,29.234,34.207,0,0.000,0,1024
346,857,1024,0.8369,28.629,34.930,0,0.000,0,1024
347,858,1024,0.8379,28.426,35.179,0,0.000,0,1024
