step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
257,768,1024,0.7500,28.446,35.154,0,0.000,0,768
258,769,1024,0.7510,31.139,32.114,0,0.000,0,1024
259,770,1024,0.7520,28.860,34.650,0,0.000,0,1024
260,771,1024,0.7529,28.563,35.010,0,0.000,0,1024
261,772,1024,0.7539,28.470,35.125,0,0.000,0,1024
262,773,1024,0.7549,32.699,30.582,0,0.000,0,1024
263,774,1024,0.7559,28.076,35.618,0,0.000,0,1024
264,775,1024,0.7568,29.003,34.479,0,0.000,0,1024
265,776,1024,0.7578,27.847,35.911,0,0.000,0,1024
266,777,1024,0.7588,31.759,31.487,0,0.000,0,1024
267,778,1024,0.7598,27.884,35.863,0,0.000,0,1024
268,779,1024,0.7607,28.256,35.391,0,0.000,0,1024
269,780,1024,0.7617,27.769,36.011,0,0.000,0,1024
270,781,1024,0.7627,28.735,34.801,0,0.000,0,1024
271,782,1024,0.7637,28.517,35.067,0,0.000,0,1024
272,783,1024,0.7646,29.336,34.088,0,0.000,0,1024
273,784,1024,0.7656,28.526,35.056,0,0.000,0,1024
274,785,1024,0.7666,28.209,35.450,0,0.000,0,1024
275,786,1024,0.7676,35.225,28.389,0,0.000,0,1024
276,787,1024,0.7686,28.033,35.672,0,0.000,0,1024
277,788,1024,0.7695,27.942,35.788,0,0.000,0,1024
278,789,1024,0.7705,29.265,34.171,0,0.000,0,1024
279,790,1024,0.7715,28.275,35.367,0,0.000,0,1024
280,791,1024,0.7725,29.229,34.213,0,0.000,0,1024
281,792,1024,0.7734,28.632,34.926,0,0.000,0,1024
282,793,1024,0.7744,29.313,34.115,0,0.000,0,1024
283,794,1024,0.7754,28.607,34.956,0,0.000,0,1024
284,795,1024,0.7764,29.648,33.729,0,0.000,0,1024
285,796,1024,0.7773,28.976,34.511,0,0.000,0,1024
286,797,1024,0.7783,29.208,34.237,0,0.000,0,1024
287,798,1024,0.7793,28.586,34.982,0,0.000,0,1024
288,799,1024,0.7803,28.730,34.807,0,0.000,0,1024
289,800,1024,0.7812,32.930,30.367,0,0.000,0,1024
290,801,1024,0.7822,28.327,35.302,0,0.000,0,1024
291,802,1024,0.7832,31.202,32.049,0,0.000,0,1024
292,803,1024,0.7842,28.552,35.024,0,0.000,0,1024
293,804,1024,0.7852,29.426,33.984,0,0.000,0,1024
294,805,1024,0.7861,28.075,35.619,0,0.000,0,1024
295,806,1024,0.7871,29.700,33.670,0,0.000,0,1024
296,807,1024,0.7881,28.571,35.001,0,0.000,0,1024
297,808,1024,0.7891,28.777,34.750,0,0.000,0,1024
298,809,1024,0.7900,28.765,34.764,0,0.000,0,1024
299,810,1024,0.7910,29.065,34.406,0,0.000,0,1024
300,811,1024,0.7920,29.721,33.646,0,0.000,0,1024
301,812,1024,0.7930,29.895,33.450,0,0.000,0,1024
