step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
278,1024,1024,1.0000,26.688,37.470,1,0.000,0
279,1024,1024,1.0000,27.062,36.952,1,0.000,0
280,1024,1024,1.0000,26.894,37.183,1,0.000,0
281,1024,1024,1.0000,27.274,36.665,1,0.000,0
282,1024,1024,1.0000,27.423,36.466,1,0.000,0
283,1024,1024,1.0000,27.060,36.955,1,0.000,0
284,1024,1024,1.0000,27.958,35.768,1,0.000,0
285,1024,1024,1.0000,27.234,36.719,1,0.000,0
286,1024,1024,1.0000,27.189,36.780,1,0.000,0
287,1024,1024,1.0000,27.025,37.003,1,0.000,0
288,1024,1024,1.0000,26.887,37.193,1,0.000,0
289,1024,1024,1.0000,26.513,37.717,1,0.000,0
290,1024,1024,1.0000,27.323,36.599,1,0.000,0
291,1024,1024,1.0000,26.892,37.186,1,0.000,0
292,1024,1024,1.0000,27.038,36.985,1,0.000,0
293,1024,1024,1.0000,26.428,37.839,1,0.000,0
294,1024,1024,1.0000,26.473,37.774,1,0.000,0
295,1024,1024,1.0000,27.375,36.530,1,0.000,0
296,1024,1024,1.0000,27.673,36.136,1,0.000,0
297,1024,1024,1.0000,27.342,36.574,1,0.000,0
298,1024,1024,1.0000,27.400,36.496,1,0.000,0
299,1024,1024,1.0000,26.555,37.658,1,0.000,0
300,1024,1024,1.0000,27.020,37.010,1,0.000,0
301,1024,1024,1.0000,27.541,36.310,1,0.000,0
