pos,cell,score
842,842,876.186035
3151,843,425.273560
3855,844,-1.331482
3153,845,256.581604
3154,846,287.883331
3155,847,244.333969
3156,848,318.767456
3157,849,325.388489
3158,850,248.350632
3844,851,9.124884
3160,852,312.250000
3161,853,416.800690
3162,854,326.457520
3163,855,445.032379
3164,856,277.318451
3165,857,471.933838
3166,858,268.412292
3167,859,535.243164
3856,860,-1.380817
3169,861,348.294159
3170,862,592.870911
3171,863,362.914368
3172,864,268.210205
3173,865,243.793228
866,866,881.181335
3174,867,259.291016
3175,868,414.195923
3853,869,7.223700
3177,870,245.258057
3178,871,245.331314
3179,872,236.123169
3180,873,311.357544
3181,874,261.768036
3182,875,249.684509
3839,876,5.996119
3184,877,298.294189
3185,878,401.457062
3186,879,328.405640
3187,880,396.506012
3188,881,276.795135
3189,882,467.136536
3190,883,257.939697
3191,884,637.873169
3858,885,6.560059
3193,886,341.022491
3194,887,576.747192
3195,888,347.302032
3196,889,253.275726
890,890,863.517090
3197,891,237.506714
3198,892,251.488983
3199,893,409.492523
3850,894,11.613290
3201,895,247.806900
3202,896,282.606628
3203,897,230.477646
3204,898,303.034088
3205,899,274.662811
3206,900,246.901993
3837,901,21.804558
3208,902,303.493683
3209,903,400.855774
3210,904,328.441833
3211,905,330.337799
3212,906,282.163757
3213,907,472.189880
3214,908,268.607758
3215,909,591.673096
3862,910,4.690514
3217,911,347.362213
3218,912,582.471741
3219,913,357.273590
3220,914,238.796707
